"player_id","player_name","avg_pts","avg_ast","avg_oreb","avg_dreb","avg_stl","avg_blk","avg_tov","avg_fgm","avg_fga","avg_tpm","avg_play_time","team_name","position"
286,"斯卡尔-拉比西埃",14.8,1.4,1.4,3.6,1,0.4,1,5.4,9.2,0.4,27,"国王",4
287,"乔治斯-帕帕扬尼斯",9.6,2.2,1.8,3.4,0.2,0.4,2.8,4.4,7.2,0,23,"国王",5
289,"艾尔-法鲁克-阿米奴",12,1,1.25,5.25,0.75,1,2.25,4.25,9.25,1.75,31,"开拓者",4
291,"达米安-利拉德",27.75,3.25,1,3.25,1.25,0.5,3.25,9.75,22.5,2.25,38,"开拓者",1
292,"迈耶斯-伦纳德",0.67,0.33,0.67,2,0,0,1.33,0.33,1.67,0,20,"开拓者",5
293,"莫里斯-哈克利斯",7.25,0.75,1.75,1.5,1,1,0.25,2.5,8.5,0.5,28,"开拓者",3.5
294,"梅森-普拉姆利",10,0.8,2.2,3.8,0.8,2,2.2,4.2,8,0,21,"掘金",5
295,"CJ-麦科勒姆",22.5,1,2,4,1,0.5,3.75,8,20,2.75,35,"开拓者",1.5
296,"阿伦-克拉布",5.5,0.5,0,3.25,0.25,0,0.25,2.25,6,0.75,26,"开拓者",2.5
297,"诺阿-冯莱",4.5,2,2.25,5,0.25,1,1.5,2,4.5,0,28,"开拓者",4.5
298,"帕特-康诺顿",2.33,1.33,0.33,2,0,0,0,0.67,3,0,15,"开拓者",2.5
301,"杰克-莱曼",3,0.5,0,0.5,0.5,0,0,1,2,0.5,15,"开拓者",4
303,"艾森-伊利亚索瓦",4,0.33,2.33,2.83,0.17,0,0.83,1.33,3.83,0.17,17,"老鹰",3.5
304,"拉塞尔-威斯布鲁克",37.4,10.8,1.8,10,2.4,0.4,6,11.8,30.4,2.6,36,"雷霆",1
305,"安东尼-莫罗",4,0.67,0,1,0,0,0,1.67,3,0,10,"公牛",2.5
306,"埃内斯-坎特",4.8,0.2,0.6,1,0,1,0.4,2,5.2,0,14,"雷霆",4.5
307,"凯尔-辛格勒",0,0,0,1,0,0,0,0,1,0,22,"雷霆",3
309,"维克托-奥拉迪波",10.8,2,0.6,5.2,1.4,0.8,1.2,4.2,12.2,1.2,34,"雷霆",2
310,"史蒂文-亚当斯",8,1.4,3.4,3.4,1.2,2,0.8,3.6,5.6,0,29,"雷霆",5
311,"安德烈-罗伯森",11.6,1.8,3.4,2.6,2.4,3.4,1.4,4.8,9.2,1.4,31,"雷霆",2.5
314,"卡梅伦-佩恩",3,0,0,1,0,0,1,1,2,1,3,"公牛",1
315,"多曼塔斯-萨博尼斯",2,0,0,1,0.5,0.5,0,0,1.5,0,12,"雷霆",4
317,"伯瑞斯-迪奥",5.73,2,0.27,1.64,0.64,0.36,1.27,2.18,4.36,0.55,18,"爵士",4.5
319,"托尼-帕克",15.88,3.12,0.38,2.25,0.5,0,1.5,6.38,12.25,1.38,25,"马刺",1
320,"拉马库斯-阿尔德里奇",16.5,1.5,2.62,4.88,0.62,1,1.75,6.88,14.94,0.12,31,"马刺",4.5
321,"帕蒂-米尔斯",10.31,2.69,0.31,1.81,0.81,0.06,1.31,3.56,8.75,2,29,"马刺",1
322,"丹尼-格林",7.75,1.44,0.81,2.69,0.62,0.94,1.06,2.81,6.94,1.62,29,"马刺",2.5
323,"科怀-伦纳德",27.67,4.58,1.58,6.17,1.67,0.5,2.17,8.83,16.83,2.08,34,"马刺",3
324,"凯尔-安德森",5.53,1.67,0.8,2.27,0.6,0.13,0.47,2.4,4.13,0.2,14,"马刺",3
325,"博班-马里亚诺维奇",12.6,0.4,3,5.2,0.6,0.6,0.6,5.2,8.8,0,18,"活塞",5
326,"乔纳森-西蒙斯",10.53,1.87,0.6,1.2,0.6,0.13,0.73,4.13,9.07,0.87,25,"马刺",2.5
327,"德章泰-默里",5.73,2.45,0.36,2.09,1.45,0.18,1.45,2.09,5.55,0,18,"马刺",1
329,"马尔钦-戈塔特",8.08,1.85,4.15,6.92,0.38,1.54,1.31,3.62,7.15,0,31,"奇才",5
330,"约翰-沃尔",27.15,10.31,0.46,3.31,1.69,1.15,4.23,9.77,21.62,1.62,40,"奇才",1
331,"马基夫-莫里斯",12.08,1.69,1.31,5,0.92,1.31,1.62,4.54,11.15,1.08,29,"奇才",4
332,"布拉德利-比尔",24.85,2.69,1.15,2.23,1.62,0.62,2.08,9.38,19.92,2.23,39,"奇才",2
333,"奥托-波特",12.15,1.77,1.15,5.69,1.69,0.54,0.77,4.46,8.38,0.85,35,"奇才",3
335,"凯利-乌布雷",6.36,0.36,0.82,1.73,0.91,0.45,0.64,2.36,5.55,1,16,"奇才",3
336,"德里克-费沃斯",7.55,0.91,1.36,4.09,0.73,0.55,0.36,3.27,5.64,0,19,"爵士",4.5
